"","EAN_UPC","Product_name"
"222",NA,"Knorr Hüttenschmaus Nudel-Fertiggericht Schwäbische Käse-Spätzle 149 g"
"223","4013300030000","Unox Kartoffel mal anders Käse 400ml 400ml"
"224","8712100596445","Knorr Professional Bouillon Gemüse, geliert (vegan, 1EL Bouillon genügt für 1 l Wasser) 1er Pack (1 x 800 g)"
"225","8711200453771","Knorr"
"226","8712566361472","Knorr  Bouillon Pur mit Rind leckere Rinderbrühe mit vollem Geschmack 6x 28 g"
"227","8714100761786","Knorr"
"228","4007801105596","Knorr Flädle Suppeneinlage (Fritatten nach österreichischem Originalrezept) 1er Pack (1 x 1 kg)"
"229","4013300531347","Knorr"
"230","4000400317216","Knorr Tomaten Soße 3 x 250 ml, 15er-Pack"
"231","8710522967829","Knorr Fix Würzmischung Spaghetti Carbonara leckeres Nudelgericht 100% natürliche Zutaten ohne zugesetzten Zucker* 42 g"
"232",NA,"Lukull Servierfertige Béarnaise Sauce , 6er pack (6 x 250 ml)"
"233","8714100339831","Hellmann's Ketchup Portionsbeutel (fruchtig tomatiger Geschmack) 1er Pack (200 x 10ml)"
"234","4007801309628","Knorr Salatkrönung Universal Kräuter (Salatdressing einfach zuzubereiten, für flexibel einsetzbares Dressing) 1er Pack (1 x 5 kg)"
"235",NA,"Knorr Gemüsebouillon Dose Ergiebigkeit, 3er Pack (3 x 16 l)"
"236","8722700674962","Knorr Schweinebraten Soße Dose, 1er-Pack (1 x 2,25 Liter)"
